fit mine inch ha mount side case top plastic screw 

use doe used dvd computer ipod using cd video player 

card memory speed laptop sd heat camera cpu use picture 

power wire unit plug amp cord watt volt doe outlet 

speaker sound yes need headphone one would work like good 

lens camera canon nikon fit focus zoom sigma mount sensor 

cable tv antenna use adapter phone signal ha usb plug 

battery com http www charge charger camera sony printer kodak 

work would filter use yes help one need good get 

work one wa would get yes need like know good 

