computer dvd com cd http ipod player software www video 

speaker sound power wire amp unit plug watt receiver volt 

bought buy amazon card camera price model purchased memory new 

inch mount ha tripod screw side wall top plastic eyepiece 

would use work yes one fit good like get need 

battery charger charge light charging camera sony phone wa pack 

lens camera filter canon nikon focus ha zoom sigma mount 

wa mine sound ordered speaker shipping bose shipped gift warranty 

work one use would need yes get ha like also 

cable tv antenna adapter phone headphone radio plug signal jack 

